File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0408_11_mesh_1.ply,18473.306,7270.218,117.341,46.943,32.484,9.622
0408_11_mesh_10.ply,458.501,585.78,38.106,9.953,5.237,0.12
0408_11_mesh_11.ply,886.834,855.71,38.468,9.538,7.026,0.222
0408_11_mesh_2.ply,1207.297,1150.5,17.653,18.84,14.701,
0408_11_mesh_3.ply,1286.319,1245.948,46.524,13.122,9.355,0.385
0408_11_mesh_4.ply,1167.759,1491.864,48.321,31.656,16.277,0.31
0408_11_mesh_5.ply,528.034,593.851,34.48,7.315,8.458,0.141
0408_11_mesh_6.ply,2303.471,1680.644,61.267,19.119,10.123,1.137
0408_11_mesh_7.ply,941.89,877.449,31.507,20.541,7.377,0.316
0408_11_mesh_8.ply,2378.565,1344.554,45.127,11.601,10.29,0.593
0408_11_mesh_9.ply,1285.948,983.082,42.482,13.86,8.555,0.406
