File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0522_07_mesh_1.ply,132.526,193.862,15.329,7.143,4.683,0.034
0522_07_mesh_10.ply,6.674,82.02,11.008,6.304,1.354,0.004
0522_07_mesh_11.ply,17.492,72.175,5.906,5.538,4.626,0.015
0522_07_mesh_12.ply,42.744,78.749,5.045,6.35,4.261,0.009
0522_07_mesh_13.ply,12.376,160.682,9.32,8.498,4.839,0.007
0522_07_mesh_14.ply,72.965,102.026,7.942,5.477,3.64,0.017
0522_07_mesh_15.ply,127.05,173.865,14.359,6.555,3.472,0.036
0522_07_mesh_16.ply,55.664,115.037,8.286,7.09,4.434,0.021
0522_07_mesh_17.ply,10.774,258.115,21.501,6.243,6.002,0.011
0522_07_mesh_18.ply,42.168,102.893,8.239,4.17,5.065,0.034
0522_07_mesh_2.ply,381.641,718.211,77.383,12.387,6.545,0.076
0522_07_mesh_3.ply,175.392,190.403,8.142,8.786,7.091,0.061
0522_07_mesh_4.ply,88.486,166.92,14.596,5.871,4.729,0.024
0522_07_mesh_5.ply,3.575,71.85,8.718,7.382,1.747,0.001
0522_07_mesh_6.ply,38.834,74.077,7.13,4.272,3.706,0.01
0522_07_mesh_7.ply,55.251,107.352,13.164,4.746,3.094,0.012
0522_07_mesh_8.ply,65.977,252.425,29.039,7.121,4.667,0.021
0522_07_mesh_9.ply,1146.855,932.409,17.592,16.738,14.501,
